Country,Rating
Belgium,96.4
France,90.1
England,87.6
Netherlands,87
Sweden,81.5
Luxembourg,81.5
Portugal,78.7
Germany,75.1
Estonia,74.7
Norway,71.4
Iceland,71.3
Albania,68.1
Spain,66
Moldova,65.8
Ireland,65
Malta,63.8
Finland,63.3
Austria,62.2
Ukraine,59.8
Serbia,59.7
Denmark,59.6
Croatia,59.3
Italy,59.3
Latvia,58.5
Switzerland,58.3
Slovenia,57
Bulgaria,56.7
Kosovo,56.6
Turkey,55.7
Azerbaijan,54.4
Romania,54.4
Armenia,53.9
Georgia,52.9
North Macedonia,52.8
Greece,52.5
Cyprus,51.4
Czechia,50.8
Lithuania,50.1
Slovakia,48.1
Andorra,47.9
Montenegro,45.7
Hungary,44.9
Belarus,44.4
Bosnia-Herzegovina,44.3
Russia,42.8
Poland,35.1
Wales,87.6
Scotland,87.6
NorthernIreland,87.6
