Country,Men,Women,Total
United States,32.6,32.6,32.6
Iceland,25.4,27.9,26.65
Russia,16.3,26.2,21.25
Turkey,17.3,24.8,21.05
Latvia,18.4,24.1,21.25
Finland,23,23,23
Hungary,25.1,22.7,23.9
Brazil,19.5,21,20.25
Canada,21.7,20.2,20.95
Lithuania,16.4,19.9,18.15
Estonia,22.9,18.9,20.9
Australia,20.4,18.7,19.55
Slovak Republic,20.6,18.3,19.45
Slovenia,20.7,18,19.35
Czech Republic,21.2,17.5,19.35
Portugal,16.4,17.4,16.9
Denmark,17.1,16.6,16.85
Israel,18.9,16.6,17.75
Greece,16.6,16.2,16.4
Poland,17.9,16.1,17
Ireland,20,16,18
Netherlands,12.6,15.6,14.1
Austria,18.1,15.2,16.65
France,13.5,15.2,14.35
Belgium,16.7,15,15.85
Luxemburg,18.4,14.6,16.5
Germany,18.1,14.6,16.35
Spain,15.5,14.3,14.9
Sweden,14.4,13.1,13.75
Chile,7.9,12.3,10.1
Norway,15,12,13.5
Italy,11.7,10.3,11
Switzerland,12.3,10.2,11.25
Korea,5.3,3.2,4.25
